area,region,geo_lookup,industrial_size,rental_industrial_2022:2,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,latitude,longitude
 Falcon Park,Durban," Falcon Park, Durban, South Africa", 5000m�,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.9059606,30.9058425
 Felix Dlamini Rd (Brickfield),Durban," Felix Dlamini Rd (Brickfield), Durban, South Africa", 5000m�,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Glen Anil,Durban," Glen Anil, Durban, South Africa", 5000m�,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.7516172,31.0397277
 Hammarsdale,Durban," Hammarsdale, Durban, South Africa", 5000m�,46.75,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Isipingo,Durban," Isipingo, Durban, South Africa", 5000m�,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Ithala Industrial Estate,Durban," Ithala Industrial Estate, Durban, South Africa", 5000m�,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Jacobs,Durban," Jacobs, Durban, South Africa", 5000m�,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.9263889,30.9866667
 Kingsburgh,Durban," Kingsburgh, Durban, South Africa", 5000m�,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Mariann Park/Southmead,Durban," Mariann Park/Southmead, Durban, South Africa", 5000m�,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Maxmead,Durban," Maxmead, Durban, South Africa", 5000m�,62.38,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Mayville,Durban," Mayville, Durban, South Africa", 5000m�,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Mobeni,Durban," Mobeni, Durban, South Africa", 5000m�,62.57,,,,,,,,,,,,,,,,,,,,,,,,,,-29.9333333,30.9736111
 Mount Edgecombe,Durban," Mount Edgecombe, Durban, South Africa", 5000m�,72.67,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 New Germany,Durban," New Germany, Durban, South Africa", 5000m�,57.67,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8098859,30.8952367
 New Westmead/Mahogany,Durban," New Westmead/Mahogany, Durban, South Africa", 5000m�,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Phoenix,Durban," Phoenix, Durban, South Africa", 5000m�,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Pinetown Central,Durban," Pinetown Central, Durban, South Africa", 5000m�,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Prospecton,Durban," Prospecton, Durban, South Africa", 5000m�,58.29,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Riverhorse Valley Business Estate,Durban," Riverhorse Valley Business Estate, Durban, South Africa", 5000m�,77.92,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Rossburgh/South Coast Rd,Durban," Rossburgh/South Coast Rd, Durban, South Africa", 5000m�,59.75,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Southgate Industrial Park,Durban," Southgate Industrial Park, Durban, South Africa", 5000m�,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Springfield Park,Durban," Springfield Park, Durban, South Africa", 5000m�,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Tongaat,Durban," Tongaat, Durban, South Africa", 5000m�,46.75,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Umbilo/Sydney Rd/Magwaza Maphalala St (Gale),Durban," Umbilo/Sydney Rd/Magwaza Maphalala St (Gale), Durban, South Africa", 5000m�,58.75,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Umbogintwini/Southgate,Durban," Umbogintwini/Southgate, Durban, South Africa", 5000m�,58.33,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Umgeni Park,Durban," Umgeni Park, Durban, South Africa", 5000m�,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8053559,31.0189902
 Umgeni Rd/Stamford Hill,Durban," Umgeni Rd/Stamford Hill, Durban, South Africa", 5000m�,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8194005,31.0273238
 Verulam,Durban," Verulam, Durban, South Africa", 5000m�,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Westmead,Durban," Westmead, Durban, South Africa", 5000m�,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Arcadia,East London," Arcadia, East London, South Africa", 5000m�,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.0083333,27.905
 East London average,East London," East London average, East London, South Africa", 5000m�,32.25,,,,,,,,,,,,,,,,,,,,,,,,,,-33.01529,27.91162
 Gately/Woodbrook,East London," Gately/Woodbrook, East London, South Africa", 5000m�,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.01529,27.91162
 West Bank Industrial Area,East London," West Bank Industrial Area, East London, South Africa", 5000m�,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.01529,27.91162
 Wilsonia,East London," Wilsonia, East London, South Africa", 5000m�,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,-32.9730794,27.8213719
 Aeroport/Spartan Ext 2,East Rand," Aeroport/Spartan Ext 2, East Rand, South Africa", 5000m�,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Alberton,East Rand," Alberton, East Rand, South Africa", 5000m�,41.67,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Alrode & Xs,East Rand," Alrode & Xs, East Rand, South Africa", 5000m�,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,-26.2982628,28.1202109
 Alrode South,East Rand," Alrode South, East Rand, South Africa", 5000m�,40.14,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Bartletts,East Rand," Bartletts, East Rand, South Africa", 5000m�,53.33,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Delville,East Rand," Delville, East Rand, South Africa", 5000m�,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Driehoek/Industries W,East Rand," Driehoek/Industries W, East Rand, South Africa", 5000m�,43.67,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 East Rand average,East Rand," East Rand average, East Rand, South Africa", 5000m�,49.73,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Eastleigh,East Rand," Eastleigh, East Rand, South Africa", 5000m�,47.71,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Elandsfontein,East Rand," Elandsfontein, East Rand, South Africa", 5000m�,41.44,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Founders View,East Rand," Founders View, East Rand, South Africa", 5000m�,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Germiston S/Industries E,East Rand," Germiston S/Industries E, East Rand, South Africa", 5000m�,33.67,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Gosforth Park,East Rand," Gosforth Park, East Rand, South Africa", 5000m�,64.38,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Henville,East Rand," Henville, East Rand, South Africa", 5000m�,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Hughes,East Rand," Hughes, East Rand, South Africa", 5000m�,57.33,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Isando,East Rand," Isando, East Rand, South Africa", 5000m�,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Isando 3,East Rand," Isando 3, East Rand, South Africa", 5000m�,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Jet Park,East Rand," Jet Park, East Rand, South Africa", 5000m�,51.44,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Knights,East Rand," Knights, East Rand, South Africa", 5000m�,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Lilianton,East Rand," Lilianton, East Rand, South Africa", 5000m�,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Longmeadow,East Rand," Longmeadow, East Rand, South Africa", 5000m�,69.27,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Meadowbrook/Wilbart,East Rand," Meadowbrook/Wilbart, East Rand, South Africa", 5000m�,55.86,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Pomona/Kempton Park,East Rand," Pomona/Kempton Park, East Rand, South Africa", 5000m�,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Roodekop,East Rand," Roodekop, East Rand, South Africa", 5000m�,36.86,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Route 24/Meadowdale,East Rand," Route 24/Meadowdale, East Rand, South Africa", 5000m�,49.11,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Rustivia/Activia Park,East Rand," Rustivia/Activia Park, East Rand, South Africa", 5000m�,43.14,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 S&J Industrial Estate,East Rand," S&J Industrial Estate, East Rand, South Africa", 5000m�,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Sebenza Ext 14,East Rand," Sebenza Ext 14, East Rand, South Africa", 5000m�,46.25,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Spartan Ext 16 (Sebenza Link) + Ext 1/3/7,East Rand," Spartan Ext 16 (Sebenza Link) + Ext 1/3/7, East Rand, South Africa", 5000m�,47.29,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Spartan Proper,East Rand," Spartan Proper, East Rand, South Africa", 5000m�,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Sunnyrock,East Rand," Sunnyrock, East Rand, South Africa", 5000m�,55.89,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Tunney/Greenhills,East Rand," Tunney/Greenhills, East Rand, South Africa", 5000m�,55.71,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Apex,Far East Rand," Apex, Far East Rand, South Africa", 5000m�,43.75,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Benoni South,Far East Rand," Benoni South, Far East Rand, South Africa", 5000m�,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Boksburg North & East,Far East Rand," Boksburg North & East, Far East Rand, South Africa", 5000m�,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.2084475,28.2535265
 Far East Rand average,Far East Rand," Far East Rand average, Far East Rand, South Africa", 5000m�,40.38,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Morehill Ext 8 Benoni,Far East Rand," Morehill Ext 8 Benoni, Far East Rand, South Africa", 5000m�,35.67,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 New Era/Vulcania,Far East Rand," New Era/Vulcania, Far East Rand, South Africa", 5000m�,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Deal Party,Gqeberha," Deal Party, Gqeberha, South Africa", 5000m�,34.33,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8954029,25.6168853
 Fairview,Gqeberha," Fairview, Gqeberha, South Africa", 5000m�,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.0,24.0
 Gqeberha average,Gqeberha," Gqeberha average, Gqeberha, South Africa", 5000m�,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,-29.0,24.0
 Greenbushes,Gqeberha," Greenbushes, Gqeberha, South Africa", 5000m�,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.0,24.0
 Korsten/Neave/Sidwell/Sydenham,Gqeberha," Korsten/Neave/Sidwell/Sydenham, Gqeberha, South Africa", 5000m�,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,-29.0,24.0
 Markman Township,Gqeberha," Markman Township, Gqeberha, South Africa", 5000m�,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.0,24.0
 North End,Gqeberha," North End, Gqeberha, South Africa", 5000m�,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9422092,25.6053223
 Perseverance,Gqeberha," Perseverance, Gqeberha, South Africa", 5000m�,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,-29.0,24.0
 South End Walmer,Gqeberha," South End Walmer, Gqeberha, South Africa", 5000m�,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.0,24.0
 Struandale,Gqeberha," Struandale, Gqeberha, South Africa", 5000m�,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.902231,25.5767651
 Walmer,Gqeberha," Walmer, Gqeberha, South Africa", 5000m�,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9783333,25.5874001
 Danskraal,Ladysmith," Danskraal, Ladysmith, South Africa", 5000m�,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,-28.5411111,29.8191667
 Ladysmith average,Ladysmith," Ladysmith average, Ladysmith, South Africa", 5000m�,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,-28.55874,29.77896
 Nambiti,Ladysmith," Nambiti, Ladysmith, South Africa", 5000m�,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,-28.5719444,29.7908333
 Mbombela average,Mbombela," Mbombela average, Mbombela, South Africa", 5000m�,52.08,,,,,,,,,,,,,,,,,,,,,,,,,,-25.47448,30.97033
 Mbombela East,Mbombela," Mbombela East, Mbombela, South Africa", 5000m�,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,-25.47448,30.97033
 Mbombela West,Mbombela," Mbombela West, Mbombela, South Africa", 5000m�,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,-25.4724624,30.9607723
 Riverside Park,Mbombela," Riverside Park, Mbombela, South Africa", 5000m�,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,-25.4465957,30.9629239
 Rocky's Drift,Mbombela," Rocky's Drift, Mbombela, South Africa", 5000m�,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,-25.47448,30.97033
 Camps Drift,Pietermaritzburg," Camps Drift, Pietermaritzburg, South Africa", 5000m�,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.6219008,30.3761258
 Mkondeni/Shortts Retreat,Pietermaritzburg," Mkondeni/Shortts Retreat, Pietermaritzburg, South Africa", 5000m�,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.61679,30.39278
 Pietermaritzburg average,Pietermaritzburg," Pietermaritzburg average, Pietermaritzburg, South Africa", 5000m�,38.75,,,,,,,,,,,,,,,,,,,,,,,,,,-29.61679,30.39278
 Pietermaritzburg Central,Pietermaritzburg," Pietermaritzburg Central, Pietermaritzburg, South Africa", 5000m�,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.61679,30.39278
 Willowton,Pietermaritzburg," Willowton, Pietermaritzburg, South Africa", 5000m�,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.5913889,30.4075
 Laboria,Polokwane," Laboria, Polokwane, South Africa", 5000m�,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,-23.90449,29.46885
 Centurion,Pretoria," Centurion, Pretoria, South Africa", 5000m�,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,-25.8349977,28.2109191
 Charlotte Maxeke,Pretoria," Charlotte Maxeke, Pretoria, South Africa", 5000m�,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7546708,28.1438424
 Gateway,Pretoria," Gateway, Pretoria, South Africa", 5000m�,53.33,,,,,,,,,,,,,,,,,,,,,,,,,,-25.74486,28.18783
 Hennopspark X15 & X7,Pretoria," Hennopspark X15 & X7, Pretoria, South Africa", 5000m�,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,-25.8497222,28.1741667
 Hermanstad,Pretoria," Hermanstad, Pretoria, South Africa", 5000m�,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7163889,28.1616667
 Kirkney,Pretoria," Kirkney, Pretoria, South Africa", 5000m�,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7191667,28.1016667
 Klerksoord,Pretoria," Klerksoord, Pretoria, South Africa", 5000m�,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,-25.74486,28.18783
 Koedoespoort,Pretoria," Koedoespoort, Pretoria, South Africa", 5000m�,44.67,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7264404,28.2797608
 Lyttelton Manor X4/X6,Pretoria," Lyttelton Manor X4/X6, Pretoria, South Africa", 5000m�,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,-25.74486,28.18783
 Pretoria average,Pretoria," Pretoria average, Pretoria, South Africa", 5000m�,41.75,,,,,,,,,,,,,,,,,,,,,,,,,,-25.74486,28.18783
 Pretoria Industrial Township,Pretoria," Pretoria Industrial Township, Pretoria, South Africa", 5000m�,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,-25.74486,28.18783
 Pretoria North,Pretoria," Pretoria North, Pretoria, South Africa", 5000m�,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,-25.672735,28.1734163
 Rosslyn,Pretoria," Rosslyn, Pretoria, South Africa", 5000m�,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,-25.6512587,28.1613493
 Samcor Park,Pretoria," Samcor Park, Pretoria, South Africa", 5000m�,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,-25.74486,28.18783
 Silverton/Silvertondale,Pretoria," Silverton/Silvertondale, Pretoria, South Africa", 5000m�,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,-25.74486,28.18783
 Silvertondale X1,Pretoria," Silvertondale X1, Pretoria, South Africa", 5000m�,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,-25.74486,28.18783
 Sunderland Ridge,Pretoria," Sunderland Ridge, Pretoria, South Africa", 5000m�,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,-25.8398601,28.1061423
 Waltloo/Despatch,Pretoria," Waltloo/Despatch, Pretoria, South Africa", 5000m�,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,-25.74486,28.18783
 Boltonia,West Rand," Boltonia, West Rand, South Africa", 5000m�,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.1047222,27.7463889
 Chamdor,West Rand," Chamdor, West Rand, South Africa", 5000m�,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.1529302,27.8002271
 Factoria,West Rand," Factoria, West Rand, South Africa", 5000m�,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.24565,27.55538
 Honeydew Ext 19/20/21/22,West Rand," Honeydew Ext 19/20/21/22, West Rand, South Africa", 5000m�,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.24565,27.55538
 Industria North,West Rand," Industria North, West Rand, South Africa", 5000m�,36.33,,,,,,,,,,,,,,,,,,,,,,,,,,-26.24565,27.55538
 Laserpark,West Rand," Laserpark, West Rand, South Africa", 5000m�,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,-26.24565,27.55538
 Lea Glen,West Rand," Lea Glen, West Rand, South Africa", 5000m�,46.75,,,,,,,,,,,,,,,,,,,,,,,,,,-26.24565,27.55538
 Robertville,West Rand," Robertville, West Rand, South Africa", 5000m�,41.25,,,,,,,,,,,,,,,,,,,,,,,,,,-26.24565,27.55538
 Stormill,West Rand," Stormill, West Rand, South Africa", 5000m�,41.25,,,,,,,,,,,,,,,,,,,,,,,,,,-26.24565,27.55538
 West Rand average,West Rand," West Rand average, West Rand, South Africa", 5000m�,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,-26.24565,27.55538
 Lafrenz,Windhoek," Lafrenz, Windhoek, South Africa", 5000m�,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.5287,21.68229
 North,Windhoek," North, Windhoek, South Africa", 5000m�,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.5287,21.68229
 Prosperita,Windhoek," Prosperita, Windhoek, South Africa", 5000m�,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.5287,21.68229
 South,Windhoek," South, Windhoek, South Africa", 5000m�,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.5287,21.68229
 Windhoek average,Windhoek," Windhoek average, Windhoek, South Africa", 5000m�,45.63,,,,,,,,,,,,,,,,,,,,,,,,,,-33.5287,21.68229
 Mbombela average,Mbombela," Mbombela average, Mbombela, South Africa", 250m� ,52.15,,,,,,,,,,,,,,,,,,,,,,,,,,-25.47448,30.97033
 Bloemfontein average,Bloemfontein," Bloemfontein average, Bloemfontein, South Africa", 250m�,43.52,,,,,,,,,,,,,,,,,,,,,,,,,,-29.12107,26.214
 East End,Bloemfontein," East End, Bloemfontein, South Africa", 250m�,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,-29.12107,26.214
 Estoire,Bloemfontein," Estoire, Bloemfontein, South Africa", 250m�,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,-29.12107,26.214
 Harvey Road,Bloemfontein," Harvey Road, Bloemfontein, South Africa", 250m�,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.1254574,26.2240568
 Hilton,Bloemfontein," Hilton, Bloemfontein, South Africa", 250m�,45.75,,,,,,,,,,,,,,,,,,,,,,,,,,-29.1019444,26.2430556
 Old Industrial,Bloemfontein," Old Industrial, Bloemfontein, South Africa", 250m�,43.25,,,,,,,,,,,,,,,,,,,,,,,,,,-29.12107,26.214
 Quaggafontein,Bloemfontein," Quaggafontein, Bloemfontein, South Africa", 250m�,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,-29.1304562,26.1436916
 Airport Industria (east of Borchards Quarry),Cape Town," Airport Industria (east of Borchards Quarry), Cape Town, South Africa", 250m�,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Airport Industria (north of sewerage farm),Cape Town," Airport Industria (north of sewerage farm), Cape Town, South Africa", 250m�,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Airport Industria (west of Borchards Quarry),Cape Town," Airport Industria (west of Borchards Quarry), Cape Town, South Africa", 250m�,69.38,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Bellville Oakdale,Cape Town," Bellville Oakdale, Cape Town, South Africa", 250m�,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8942265,18.6488585
 Bellville South/Sacks Circle,Cape Town," Bellville South/Sacks Circle, Cape Town, South Africa", 250m�,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Bellville Stikland/Kaymor,Cape Town," Bellville Stikland/Kaymor, Cape Town, South Africa", 250m�,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Bellville Triangle,Cape Town," Bellville Triangle, Cape Town, South Africa", 250m�,55.71,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Blackheath,Cape Town," Blackheath, Cape Town, South Africa", 250m�,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9356509,18.4142813
 Brackenfell Industria,Cape Town," Brackenfell Industria, Cape Town, South Africa", 250m�,61.79,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Brackengate/Icon Business Park,Cape Town," Brackengate/Icon Business Park, Cape Town, South Africa", 250m�,73.33,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Cape Town average,Cape Town," Cape Town average, Cape Town, South Africa", 250m�,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Capricorn Park,Cape Town," Capricorn Park, Cape Town, South Africa", 250m�,63.33,,,,,,,,,,,,,,,,,,,,,,,,,,-34.0920533,18.4882371
 Contermanskloof,Cape Town," Contermanskloof, Cape Town, South Africa", 250m�,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8099695,18.5574159
 Diep River,Cape Town," Diep River, Cape Town, South Africa", 250m�,78.33,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8509769,18.5062574
 Durbanville Industrial Park,Cape Town," Durbanville Industrial Park, Cape Town, South Africa", 250m�,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Elsies River (excl. Central Park),Cape Town," Elsies River (excl. Central Park), Cape Town, South Africa", 250m�,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Epping 1 & 2,Cape Town," Epping 1 & 2, Cape Town, South Africa", 250m�,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9335257,18.5330355
 Everite Brackenfell,Cape Town," Everite Brackenfell, Cape Town, South Africa", 250m�,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Glosderry,Cape Town," Glosderry, Cape Town, South Africa", 250m�,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9894891,18.4850336
 Killarney Gardens,Cape Town," Killarney Gardens, Cape Town, South Africa", 250m�,53.29,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8253939,18.5345972
 Kraaifontein,Cape Town," Kraaifontein, Cape Town, South Africa", 250m�,53.33,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8477778,18.7161111
 Kuils River,Cape Town," Kuils River, Cape Town, South Africa", 250m�,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8579607,18.6676275
 Lansdowne Nerissa,Cape Town," Lansdowne Nerissa, Cape Town, South Africa", 250m�,51.67,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Maitland,Cape Town," Maitland, Cape Town, South Africa", 250m�,63.29,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9225,18.4930556
 Marconi Beam,Cape Town," Marconi Beam, Cape Town, South Africa", 250m�,60.6,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8723068,18.5156689
 Montague Gardens,Cape Town," Montague Gardens, Cape Town, South Africa", 250m�,67.13,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8597498,18.5229164
 Ndabeni,Cape Town," Ndabeni, Cape Town, South Africa", 250m�,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.928485,18.4916241
 Northgate Industrial Park,Cape Town," Northgate Industrial Park, Cape Town, South Africa", 250m�,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Okavango,Cape Town," Okavango, Cape Town, South Africa", 250m�,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.7992446,18.6881485
 Ottery Hillstar,Cape Town," Ottery Hillstar, Cape Town, South Africa", 250m�,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,-34.007327,18.4997451
 Ottery Sunset,Cape Town," Ottery Sunset, Cape Town, South Africa", 250m�,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Paarden Eiland/Metro,Cape Town," Paarden Eiland/Metro, Cape Town, South Africa", 250m�,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
