area,region,geo_lookup,office_grade,caprate_office_2022:2,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,latitude,longitude
 Vaal Triangle,Vaal Triangle," Vaal Triangle, Vaal Triangle, South Africa", grade A,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.74627,27.87404
 Windhoek,Windhoek," Windhoek, Windhoek, South Africa", grade A,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.5287,21.68229
 Bloemfontein CBD,Bloemfontein," Bloemfontein CBD, Bloemfontein, South Africa", grade B,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.1185721,26.2264292
 Bloemfontein dec.,Bloemfontein," Bloemfontein dec., Bloemfontein, South Africa", grade B,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.12107,26.214
 Bellville Tyger Valley,Cape Town," Bellville Tyger Valley, Cape Town, South Africa", grade B,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8798445,18.6334957
 Cape Town CBD,Cape Town," Cape Town CBD, Cape Town, South Africa", grade B,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Century City,Cape Town," Century City, Cape Town, South Africa", grade B,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8890503,18.5119603
 Claremont,Cape Town," Claremont, Cape Town, South Africa", grade B,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9847222,18.4625
 Westlake,Cape Town," Westlake, Cape Town, South Africa", grade B,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34.0784902,18.4410137
 Durban CBD,Durban," Durban CBD, Durban, South Africa", grade B,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 La Lucia Ridge,Durban," La Lucia Ridge, Durban, South Africa", grade B,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 East London CBD,East London," East London CBD, East London, South Africa", grade B,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.01529,27.91162
 East London dec.,East London," East London dec., East London, South Africa", grade B,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.01529,27.91162
 George Central,George," George Central, George, South Africa", grade B,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9626107,22.4618537
 George dec.,George," George dec., George, South Africa", grade B,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.963,22.46173
 Germiston CBD,Germiston," Germiston CBD, Germiston, South Africa", grade B,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.23481,28.17665
 Gqeberha CBD,Gqeberha," Gqeberha CBD, Gqeberha, South Africa", grade B,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.0,24.0
 Gqeberha dec.,Gqeberha," Gqeberha dec., Gqeberha, South Africa", grade B,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.0,24.0
 Bedfordview,Johannesburg ," Bedfordview, Johannesburg , South Africa", grade B,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.20227,28.04363
 Braamfontein,Johannesburg ," Braamfontein, Johannesburg , South Africa", grade B,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.1923008,28.0361353
 Bryanston,Johannesburg ," Bryanston, Johannesburg , South Africa", grade B,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.0513889,28.0280556
 Johannesburg CBD,Johannesburg ," Johannesburg CBD, Johannesburg , South Africa", grade B,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.20227,28.04363
 Midrand,Johannesburg ," Midrand, Johannesburg , South Africa", grade B,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.999262,28.125912
 Parktown,Johannesburg ," Parktown, Johannesburg , South Africa", grade B,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.1816667,28.0277778
 Randburg Ferndale,Johannesburg ," Randburg Ferndale, Johannesburg , South Africa", grade B,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.0915038,27.9800126
 Rivonia,Johannesburg ," Rivonia, Johannesburg , South Africa", grade B,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.0533333,28.0594444
 Rosebank,Johannesburg ," Rosebank, Johannesburg , South Africa", grade B,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.145512,28.0442041
 Sandton CBD,Johannesburg ," Sandton CBD, Johannesburg , South Africa", grade B,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.20227,28.04363
 Sunninghill,Johannesburg ," Sunninghill, Johannesburg , South Africa", grade B,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.0352778,28.0758333
 Mbombela ,Mbombela," Mbombela , Mbombela, South Africa", grade B,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.481944,30.984722
 Pietermaritzburg,Pietermaritzburg," Pietermaritzburg, Pietermaritzburg, South Africa", grade B,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.6107467,30.3683735
 Polokwane ,Polokwane," Polokwane , Polokwane, South Africa", grade B,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.8297678,29.4983192
 Brooklyn,Pretoria," Brooklyn, Pretoria, South Africa", grade B,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7655556,28.2397222
 Centurion,Pretoria," Centurion, Pretoria, South Africa", grade B,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.8349977,28.2109191
 Hatfield,Pretoria," Hatfield, Pretoria, South Africa", grade B,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7476402,28.2378733
 Menlyn/Lynnwood,Pretoria," Menlyn/Lynnwood, Pretoria, South Africa", grade B,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7826563,28.2750672
 Nieuw Muckleneuk,Pretoria," Nieuw Muckleneuk, Pretoria, South Africa", grade B,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.74486,28.18783
 Pretoria CBD,Pretoria," Pretoria CBD, Pretoria, South Africa", grade B,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7492568,28.1920158
 Vaal Triangle,Vaal Triangle," Vaal Triangle, Vaal Triangle, South Africa", grade B,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.74627,27.87404
 Windhoek,Windhoek," Windhoek, Windhoek, South Africa", grade B,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.5287,21.68229
 Bloemfontein CBD,Bloemfontein," Bloemfontein CBD, Bloemfontein, South Africa", grade C,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.1185721,26.2264292
 Bloemfontein dec.,Bloemfontein," Bloemfontein dec., Bloemfontein, South Africa", grade C,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.12107,26.214
 Bellville Tyger Valley,Cape Town," Bellville Tyger Valley, Cape Town, South Africa", grade C,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8798445,18.6334957
 Cape Town CBD,Cape Town," Cape Town CBD, Cape Town, South Africa", grade C,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Century City,Cape Town," Century City, Cape Town, South Africa", grade C,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8890503,18.5119603
 Claremont,Cape Town," Claremont, Cape Town, South Africa", grade C,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9847222,18.4625
 Berea,Durban," Berea, Durban, South Africa", grade C,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8505556,31.0019444
 Durban CBD,Durban," Durban CBD, Durban, South Africa", grade C,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 La Lucia Ridge,Durban," La Lucia Ridge, Durban, South Africa", grade C,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 East London CBD,East London," East London CBD, East London, South Africa", grade C,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.01529,27.91162
 East London dec.,East London," East London dec., East London, South Africa", grade C,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.01529,27.91162
 George Central,George," George Central, George, South Africa", grade C,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9626107,22.4618537
 George dec.,George," George dec., George, South Africa", grade C,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.963,22.46173
 Germiston CBD,Germiston," Germiston CBD, Germiston, South Africa", grade C,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.23481,28.17665
 Gqeberha CBD,Gqeberha," Gqeberha CBD, Gqeberha, South Africa", grade C,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.0,24.0
 Gqeberha dec.,Gqeberha," Gqeberha dec., Gqeberha, South Africa", grade C,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.0,24.0
 Bedfordview,Johannesburg ," Bedfordview, Johannesburg , South Africa", grade C,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.20227,28.04363
