area,region,geo_lookup,type,industrial_subtype,caprate_industrial_2022:2,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,latitude,longitude
 Far East Rand,Far East Rand," Far East Rand, Far East Rand, South Africa", industrial, secondary quality building,11.8,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 George,George," George, George, South Africa", industrial, secondary quality building,10.3,,,,,,,,,,,,,,,,,,,,,,,,,-33.9317385,22.4590246
 Gqeberha,Gqeberha," Gqeberha, Gqeberha, South Africa", industrial, secondary quality building,11.2,,,,,,,,,,,,,,,,,,,,,,,,,-33.960102,25.6242957
 Mbombela,Mbombela," Mbombela, Mbombela, South Africa", industrial, secondary quality building,11.3,,,,,,,,,,,,,,,,,,,,,,,,,-25.481944,30.984722
 Pietermaritzburg,Pietermaritzburg," Pietermaritzburg, Pietermaritzburg, South Africa", industrial, secondary quality building,10.8,,,,,,,,,,,,,,,,,,,,,,,,,-29.6107467,30.3683735
 Polokwane,Polokwane," Polokwane, Polokwane, South Africa", industrial, secondary quality building,11.5,,,,,,,,,,,,,,,,,,,,,,,,,-23.8297678,29.4983192
 Pretoria,Pretoria," Pretoria, Pretoria, South Africa", industrial, secondary quality building,11.1,,,,,,,,,,,,,,,,,,,,,,,,,-25.7425492,28.2885639
 Vaal Triangle,Vaal Triangle," Vaal Triangle, Vaal Triangle, South Africa", industrial, secondary quality building,11.8,,,,,,,,,,,,,,,,,,,,,,,,,-26.74627,27.87404
 West Rand,West Rand," West Rand, West Rand, South Africa", industrial, secondary quality building,11.1,,,,,,,,,,,,,,,,,,,,,,,,,-26.303655,27.7636345
 Windhoek,Windhoek," Windhoek, Windhoek, South Africa", industrial, secondary quality building,9.1,,,,,,,,,,,,,,,,,,,,,,,,,-33.5287,21.68229
