area,region,geo_lookup,office_grade,rental_office_2022:2,latitude,longitude
 Route 21 Corp. Park,Pretoria, Route 21 Corp. Park; Pretoria; South Africa, grade A+,130.0,39.11251,-100.35875
 Silver Lakes/Die Wilgers,Pretoria, Silver Lakes/Die Wilgers; Pretoria; South Africa, grade A+,138.33,,
 Windhoek,Windhoek, Windhoek; Windhoek; South Africa, grade A+,235.0,-22.5776104,17.0772739
 Bryanston/Epsom Downs,Johannesburg  , Bryanston/Epsom Downs; Johannesburg  ; South Africa, grade A+,173.0,-26.041802,28.0152277
 Bloemfontein CBD,Bloemfontein, Bloemfontein CBD; Bloemfontein; South Africa, grade B,84.0,-29.116874,26.2197159
 Westdene,Bloemfontein, Westdene; Bloemfontein; South Africa, grade B,90.4,50.8592269,-0.1620789
 Bellville CBD,Cape Town, Bellville CBD; Cape Town; South Africa, grade B,83.33,,
 Cape Town CBD,Cape Town, Cape Town CBD; Cape Town; South Africa, grade B,99.56,-33.9222066,18.4172844
 Century City,Cape Town, Century City; Cape Town; South Africa, grade B,114.17,34.0573589,-118.4146078
 Claremont Lower,Cape Town, Claremont Lower; Cape Town; South Africa, grade B,126.67,43.3734068,-72.3462005
 Claremont Upper,Cape Town, Claremont Upper; Cape Town; South Africa, grade B,130.0,51.2281106,-0.3323575
 Durbanville,Cape Town, Durbanville; Cape Town; South Africa, grade B,104.17,-33.8402778,18.6494444
 Gardens,Cape Town, Gardens; Cape Town; South Africa, grade B,98.33,-33.9327778,18.4097222
 Goodwood (N1 City),Cape Town, Goodwood (N1 City); Cape Town; South Africa, grade B,97.5,-33.8940341,18.5591131
 Kuils River,Cape Town, Kuils River; Cape Town; South Africa, grade B,63.33,-33.8430868,18.6678235
 Maitland,Cape Town, Maitland; Cape Town; South Africa, grade B,100.0,-32.7316683,151.5511123
 Milnerton,Cape Town, Milnerton; Cape Town; South Africa, grade B,86.67,-33.8794444,18.4963889
 Mowbray,Cape Town, Mowbray; Cape Town; South Africa, grade B,75.0,-33.9483333,18.4741667
 Newlands,Cape Town, Newlands; Cape Town; South Africa, grade B,150.0,55.8171461,-4.2804376
 Noordhoek (Sun Valley),Cape Town, Noordhoek (Sun Valley); Cape Town; South Africa, grade B,120.0,-34.1207993,18.3917929
 Observatory/Black River Park,Cape Town, Observatory/Black River Park; Cape Town; South Africa, grade B,90.0,-33.9344805,18.4721497
 Paarl,Cape Town, Paarl; Cape Town; South Africa, grade B,150.0,-33.7310282,18.9642117
 Pinelands/Golf Park,Cape Town, Pinelands/Golf Park; Cape Town; South Africa, grade B,100.0,-33.9478648,18.4904015
 Rondebosch,Cape Town, Rondebosch; Cape Town; South Africa, grade B,126.88,-33.9680556,18.4877778
 Salt River,Cape Town, Salt River; Cape Town; South Africa, grade B,82.5,33.4667115,-111.8640311
 Sea Point,Cape Town, Sea Point; Cape Town; South Africa, grade B,102.5,-33.9172222,18.3922222
 Table View/Parklands,Cape Town, Table View/Parklands; Cape Town; South Africa, grade B,120.0,-33.7971984,18.4956559
 Tyger Valley area,Cape Town, Tyger Valley area; Cape Town; South Africa, grade B,115.83,44.83141,9.41722
 Tygerberg Hills/Plattekloof,Cape Town, Tygerberg Hills/Plattekloof; Cape Town; South Africa, grade B,117.5,,
 Westlake,Cape Town, Westlake; Cape Town; South Africa, grade B,120.0,32.991226,-97.1943701
 Woodstock,Cape Town, Woodstock; Cape Town; South Africa, grade B,86.67,42.0410578,-74.1182492
 Wynberg,Cape Town, Wynberg; Cape Town; South Africa, grade B,93.67,-34.0036249,18.4672507
 Durban Berea,Durban, Durban Berea; Durban; South Africa, grade B,90.0,-29.8505556,31.0019444
