area,region,geo_lookup,office_grade,rental_office_2022:2,latitude,longitude
 Lynnwood Ridge,Pretoria, Lynnwood Ridge; Pretoria; South Africa, grade C,83.33,-25.7627778,28.2933333
 Menlo Park/Hazelwood,Pretoria, Menlo Park/Hazelwood; Pretoria; South Africa, grade C,100.0,-25.7776146,28.266343
 Menlyn,Pretoria, Menlyn; Pretoria; South Africa, grade C,92.5,-25.7841667,28.2755556
 Nieuw Muckleneuk,Pretoria, Nieuw Muckleneuk; Pretoria; South Africa, grade C,97.5,,
 Pretoria CBD,Pretoria, Pretoria CBD; Pretoria; South Africa, grade C,62.5,-25.7492568,28.1920158
 Route 21 Corp. Park,Pretoria, Route 21 Corp. Park; Pretoria; South Africa, grade C,105.0,39.11251,-100.35875
 Silver Lakes/Die Wilgers,Pretoria, Silver Lakes/Die Wilgers; Pretoria; South Africa, grade C,97.5,,
 Sunnyside,Pretoria, Sunnyside; Pretoria; South Africa, grade C,62.5,46.3246419,-120.0081898
 Val de Grace,Pretoria, Val de Grace; Pretoria; South Africa, grade C,75.0,48.8422427,2.3438924
 Windhoek,Windhoek, Windhoek; Windhoek; South Africa, grade C,127.5,-22.5776104,17.0772739
 Bryanston/Epsom Downs,Johannesburg  , Bryanston/Epsom Downs; Johannesburg  ; South Africa, grade C,89.5,-26.041802,28.0152277
